max_nw,active_workers_history,service_time_history,service_time_goal,emitter_elapsed_time_history,workers_elapsed_time_history,collector_elapsed_time_history
8,8,1439,1000,15,15899,8019
8,8,1467,1000,1,15897,5
8,8,1543,1000,129,23943,3
8,8,1616,1000,1,24029,7990
8,8,1635,1000,5,16021,6
8,8,1603,1000,7875,8009,7
8,8,1573,1000,2,8038,11
8,8,1644,1000,8000,23915,0
8,8,1662,1000,22,16052,12
8,8,1629,1000,1,8038,0
8,8,1647,1000,1,15925,7893
8,8,1615,1000,8011,8013,103
8,8,1584,1000,4,8018,0
8,8,1555,1000,1,8012,21
8,8,1552,1000,1,12004,3983
8,8,1574,1000,1,15904,3904
8,8,1545,1000,7,8015,3
8,8,1593,1000,8,20012,4086
8,8,1588,1000,7884,11990,26
8,8,1634,1000,4111,20037,0
8,8,1660,1000,1,17175,0
8,8,1648,1000,0,11459,7355
8,8,1666,1000,3915,16013,636
8,8,1632,1000,4076,8006,5179
8,8,1601,1000,6,8006,0
8,8,1603,1000,4,13175,0
8,8,1573,1000,13,8010,2196
8,8,1616,1000,0,19468,6
8,8,1668,1000,5158,21224,5827
8,8,1667,1000,2199,13189,6
8,8,1791,1000,634,33239,5
8,8,1752,1000,24,8040,12
8,8,1714,1000,5167,8010,2170
8,8,1728,1000,2199,16014,609
8,8,1742,1000,2,16014,7397
8,8,1718,1000,644,10174,3
8,8,1696,1000,5179,10204,4
8,8,1707,1000,1,15392,12
8,8,1686,1000,1,10216,8
8,8,1651,1000,2182,8012,590
8,8,1661,1000,615,14762,3948
8,8,1657,1000,2817,12588,13
8,8,1602,1000,5145,4566,9
8,8,1551,1000,0,4596,4
8,8,1498,1000,7,4012,43
8,8,1477,1000,2,8568,3942
8,8,1428,1000,46,4020,10
8,8,1382,1000,3946,4016,3998
8,8,1337,1000,16,4010,0
8,8,1296,1000,3979,4014,10
8,8,1309,1000,7,12571,5
8,8,1269,1000,6,4014,6
8,8,1255,1000,6,8009,3982
8,8,1296,1000,8,16601,9
8,8,1256,1000,3992,4014,22
8,8,1232,1000,2,6116,2106
8,8,1220,1000,20,8015,1872
8,8,1209,1000,1,8023,5
8,8,1224,1000,5,12032,5
8,8,1213,1000,3974,8007,7
8,8,1177,1000,1,4012,20
8,8,1168,1000,7,8025,3976
8,8,1135,1000,29,4013,7
8,8,1103,1000,2099,4013,7
8,8,1073,1000,1872,4035,5
8,8,1044,1000,7,4007,19
8,8,1029,1000,2,5930,1
8,8,1053,1000,9,12028,3968
8,8,1050,1000,26,7964,3955
8,8,1047,1000,7919,7939,14
8,8,1019,1000,8,4013,0
8,8,1043,1000,10,11954,49
8,8,1065,1000,1,11951,3942
8,8,1087,1000,0,11944,12
8,8,1057,1000,1,4012,9
8,8,1029,1000,46,4009,53
8,8,1103,1000,3946,20009,3948
8,8,1097,1000,15,7954,10
8,8,1068,1000,55,4012,58
8,8,1049,1000,3935,5651,1579
8,8,1057,1000,13,9675,10
8,8,1065,1000,7,9776,79
8,8,1048,1000,61,5773,5
8,8,1021,1000,3943,4018,2274
8,8,995,1000,7,4012,68
8,8,970,1000,1,4012,1581
8,8,972,1000,65,8008,89
8,8,973,1000,1573,8013,2264
8,8,949,1000,12,4007,1653
8,7,937,1000,83,5597,9
8,7,1046,1000,2348,4012,6
8,8,1079,1000,1575,12030,83
8,7,922,1000,7,4010,2254
8,7,1030,1000,87,4009,1656
8,7,1007,1000,2258,4008,14
8,7,985,1000,1654,4012,91
8,7,1021,1000,9,12028,3902
8,7,1028,1000,6,8031,16
8,7,1046,1000,89,9777,85
8,7,1035,1000,2248,5770,7
8,7,1027,1000,2,6155,2148
8,7,1004,1000,3913,4009,1761
8,7,983,1000,1,4013,21
8,7,1003,1000,1759,9784,76
8,7,1026,1000,20,10265,2150
8,7,1032,1000,72,7930,1766
8,7,1037,1000,7,7949,26
8,7,1029,1000,3943,6237,2200
8,7,1006,1000,2195,4014,26
8,7,985,1000,0,4030,1780
8,7,992,1000,27,7959,9
8,7,971,1000,1764,4008,2200
8,7,951,1000,19,4012,28
8,7,989,1000,1,12021,1764
8,7,969,1000,2207,4009,17
8,7,949,1000,27,4012,2237
8,7,940,1000,1775,5478,1438
8,7,948,1000,7,7704,9
8,7,986,1000,2205,12017,305
8,7,966,1000,29,4008,19
8,8,1073,1000,1757,21830,4003
8,7,928,1000,17,5777,4016
8,7,1065,1000,2243,8006,0
8,7,1040,1000,1431,4004,0
8,7,1017,1000,12,4012,0
8,7,1025,1000,301,8335,0
8,7,1031,1000,22,8008,0
8,7,1066,1000,3991,12042,0
8,8,1072,1000,1,8357,0
8,8,941,1000,16,8023,4020
8,7,931,1000,3982,5981,1973
8,7,1054,1000,21,6000,1
8,7,1044,1000,2,6007,6
8,7,1046,1000,2,7666,1669
8,7,1051,1000,2,7996,317
8,7,1056,1000,1,8019,4
8,8,915,1000,5,5998,2009
8,8,894,1000,4014,4008,11
8,8,912,1000,1984,10076,28
8,8,892,1000,11,4011,1554
8,8,885,1000,1651,6044,367
